_id,urls,job_name,company_name,address,salary,end_date,job_description,job_requirements,application_method,job_level,experience,number_of_recruitment,work_form,gender,working_time
6616231e82b7fc8d1e971af5,https://www.topcv.vn/viec-lam/ecommerce-marketing/1273674.html?ta_source=ITJobs_LinkDetail,Ecommerce,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN AN PHÁT,"3C Trần Phú, Phường 04, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Mức lương,21/04/2024,"Quản lý hoạt động bán hàng & marketing trên các nền tảng thương mại điện tử (Kiểm soát, phân tích và báo cáo hiệu suất), Phối hợp với đối tác và các bộ phận liên quan để phát triển các tính năng, trải nghiệm người dùng trên website, Nghiên cứu và đánh giá xu hướng thị trường và đối thủ cạnh tranh., Nghiên cứu khách hàng, đưa ra những đề xuất về phát triển các tập khách hàng phù hợp nhằm tăng doanh thu hệ thống và các kênh phụ trách nói riêng., Đề xuất các phương án, hoạt động Marketing nhằm tối ưu hiệu quả., Thực hiện các công việc khác theo yêu cầu của cấp trên.","Tốt nghiệp đại học các chuyên ngành Kinh tế, QTKD, Marketing, hoặc các ngành nghề khác có liên quan., Có ít nhất 1 năm kinh nghiệm về ecommerce marketing/online marketing., Có khả năng phân tích, đánh giá và lập kế hoạch., Kỹ năng đàm phán tốt., Nhanh nhẹn, chủ động, chăm chỉ, cầu thị, trách nhiệm và có khả năng chịu áp lực công việc và áp lựcBenefit: - Mức lương: 9 – 12TR, - Được tham gia đóng BHXH, BHYT, BHTN..đầy đủ., - Thưởng lễ tết, sinh nhật..., - Được tham gia các chương trình đào tạo trong và ngoài doanh nghiệp., - Ưu đãi mua hàng công ty giảm 30%., - Hỗ trợ Cơm trưa và phiếu xăng đối với nhân viên chính thức.","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,1 năm,2 người,Toàn thời gian,Không yêu cầu,nan
6616231e82b7fc8d1e971af8,https://www.topcv.vn/viec-lam/backend-developer-php/1278296.html?ta_source=ITJobs_LinkDetail,Backend Developer,Lampart,"An Phú Plaza, 117-119 Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3",Mức lương,26/04/2024,"Tham gia vào dự án phát triển và nâng cấp phần mềm của công ty và khách hàng., Tìm hiểu, phát triển và ứng dụng công nghệ mới vào sản phẩm., Thực hiện các công việc liên quan khác theo yêu cầu của công ty.","• Vui lòng chú ý kiểm tra Inbox và cả Spam mail để nhận phản hồi từ Lampart nhé., • Ứng viên vui lòng cập nhật và gửi 2 CV (Tiếng Anh và Tiếng Việt) để được xử lý nhanh chóng., Yêu cầu kỹ thuật:, Tốt nghiệp các ngành Khoa học máy tính, công nghệ thông tin, ..., Kinh nghiệm 1 - 5 năm (tuỳ theo level) trong việc phát triển ứng dụng web, lập trình back end bằng ngôn ngữ PHP., · Framework Lavarel, CodeIgniter, CakePHP, Zend, ..., · JavaScript và JS Frameworks (jQuery, AngularJS, Vuejs...)., · MySQL và thiết kế Database., Yêu cầu khác:, Tích cực, chủ động chia sẻ ý kiến, suy nghĩ của bản thân., Kỹ năng làm việc nhóm và giao tiếp tốt., Kỹ năng quản lý thời gian., Kỹ năng giải quyết vấn đề., Lợi thế:, Có kinh, nghiệm về phát triển ứng dụng di động là một lợi thế., Từng làm việc hoặc yêu thích môi trường Nhật Bản là một điểm cộng., Kỹ năng tạo & tổng hợp báo cáo tốt., Kỹ năng tiếp cận và học hỏi công nghệ mới nhanh chóng., Kiên trì, không từ bỏ khi gặp khó khăn – “Không gì là không thể”.Benefit: Thời gian làm việc:, - 8:00 - 17:00 từ thứ 2 đến thứ 6., - Nghỉ Thứ Bảy, Chủ Nhật và các ngày Lễ, Tết., Hoạt động:, - Hoạt động vui chơi, ăn uống trong team được tài trợ bằng chi phí teambuilding của Công ty cho các team., - Các buổi tiệc như Halloween, Giáng Sinh, Year End Party, sinh nhật hàng tháng, Banana Day, 20/10, 08/03,..., - Hoạt động thể dục, thể thao thường xuyên với các câu lạc bộ: Bóng đá, Cầu lông, Sách, Nghệ thuật, v.v...., Các phúc lợi khác:, - Thưởng: 2 lần/năm., - Du lịch công ty & Khám sức khỏe: 1 năm/ 1 lần., - Review lương: tối thiếu 1 lần/năm., - Welcome Lunch Package., - Ngoài các gói bảo hiểm cơ bản theo quy định của Luật Lao Động, bạn còn được tham gia gói bảo hiểm tai nạn lao động tại Lampart., - Trợ cấp thăm bệnh., - Có hỗ trợ tiền ăn tối nếu tăng ca sau 19h00., - Trà, sữa, coffee,... miễn phí., - Tăng ca đêm: ngoài tiền tăng ca ban đêm, còn được nghỉ bù có lương vào ngày hôm trước và ngày hôm sau., - Ngày nghỉ đặc biệt dành cho nhân viên nữ: 0.5 ngày/ tháng., - Trợ cấp đối với nhân viên chờ chỉ thị làm việc tại nhà trong các dịp Lễ, Tết., - Được hưởng những phúc lợi đặc biệt như chương trình quà tết, bánh trung thu, tiền mừng đám cưới (5,000,000 VND), tiền mừng khi sanh con (2,000,000 VND),..., - Đối với nhân viên ký hợp đồng không xác định thời hạn: từ thời điểm ký hợp đồng không xác định thời hạn, cứ mỗi năm được cộng thêm 1 ngày nghỉ phép., - Chế độ đào tạo: Công ty luôn chú trọng đào tạo cho tất cả các nhân viên có thể phát triển, ngoài chế độ đào tạo nội bộ, bạn có thể tham gia chế độ cho nhân viên đi học bên ngoài nếu xét thấy việc học cần thiết để nâng cao kiến thức áp dụng vào công việc (tùy vào hình thức học có thể hỗ trợ 100% học phí).","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,2 năm,5 người,Toàn thời gian,Không yêu cầu,Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
6616231e82b7fc8d1e971b05,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-luong-tu-12-000-000-den-18-000-000d-thang/1275713.html?ta_source=ITJobs_LinkDetail,Chuyên Viên,Công ty TNHH sản xuất và thương mại Ninh Thanh,"68 Khúc Thừa Dụ, Vọng Hậu, Cầu Giấy, Hà Nội",(Lương Từ 12.000.000 Đến 18.000.000đ/Tháng),22/04/2024,"Thu thập thông tin và quy trình sử dụng cũng như quản lý tài khoản người dùng trên ứng dụng / hệ thống tại Techcombank., Đưa ra yêu cầu kỹ thuật tích hợp ứng dụng / hệ thống để quản lý tập trung định danh và truy cập., Đảm bảo các nghiệp vụ quản lý tài khoản người dùng dựa trên phản hồi từ chủ quản dịch vụ, Viết tài liệu tích hợp, Theo sát các bước phát triển tích hợp, hỗ trợ team phát triển hoàn thành đúng kế hoạch., Nghiệm thu sản phẩm trước khi triển khai.","Tốt nghiệp hệ chính quy các Trường Đại học trong nước hoặc nước ngoài, Có ít nhất 02 năm kinh nghiệm, trong công việc phân tích nghiệp vụ, phát triển sản phẩm cho các Ngân hàng, Tổ chức Tài chính, Tập đoàn & Công ty về CNTT, Startup/Fintech, Ưu tiên ứng viên có kinh nghiệm triển khai, quản lý dự án, Có kiến thức tổng quan, hiểu biết/kinh nghiệm và phương pháp làm việc Agile., Đã từng làm việc với các hệ thống quản lý định danh và truy cập (Oracle IAM, SailPoint...) là một lợi thếBenefit: -, Thu nhập: Lương từ 12.000.000 đến 18.000.000đ/ tháng, , lương tháng 13. Đóng BHXH theo quy định của Luật LĐ., - Thời gian làm việc: 8h30-17h30 từ thứ 2 đến sáng T7 hàng tuần, nghỉ lễ theo lịch nhà nước., - Nghỉ mát thường niên cùng công ty 2 lần/ năm.","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,2 năm,5 người,Toàn thời gian,Không yêu cầu,"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00), Thứ 7 (từ 08:00 đến 12:00)"
6616231e82b7fc8d1e971b0a,https://www.topcv.vn/viec-lam/embedded-android-developer-2-yoe-c-c/1280406.html?ta_source=ITJobs_LinkDetail,Embedded,"MARUSYS VINA CO.,LTD","Handico Tower, Pham Hung street, Nam Tu Liem, Ha Noi","(2 Yoe, C/C++)",31/05/2024,"General Description, Research and develop Android TV products, based on Android TV platforms and a variety of media services like OTT, Nvidia Shield, Apple TV, Netflix, Amazon ... . Software engineers are involved in developing platforms on almost all software layers., Essential Duties and Responsibilities, Write clean, human-readable code with unit tests, Develop high-quality code and maintain software source code written in C/C++, Develop and deploy product to Android (Linux) hardware., Analyze and fix software bugs using code coverity tools and testing devices, Create and maintain software documentation, Cooperate with internal organization and 3rd party, Steady efforts to improve SW design and quality","Education, University degree or above in Computer Science/Electronics/Industrial Engineering or equivalent., Working Experience and Knowledge, Mandatory Have, at least 2 years of experience, in software development in, C/C++, Mandatory Have understanding and experience in, Embedded Android/Linux, Have good knowledge of, Object-Oriented Programming, (OOP)and Design Patterns, Have hands-on experience in using JIRA, SVN, GIT, Experiences related to multi-thread, multi-process programming (IPC), Preferred Knowledge about Android Platform, Related Product, Preferred Have experience with STB product, Preferred Have experience in Media Service (OTT), Android TV Input Framework (TIF), Preferred Experiences related to Open Source porting & development & customizing, Skills and Abilities, Good English skills in both verbal and written, Thorough, sincere, responsible, understanding mindset, Strong motivation to develop a career in automotive software and car automation, Active communication internally and externally, Good ability in teamwork and working independently, Ability to take business trip/ travel (e.g. Korea, UK, ect.), Supervision, Part Manager/ Team leader of Automotive team of MARUSYS VINA, Project Manager in KoreaBenefit: 1. Benefits, Salary will be negotiated, depending on your competency, Competitive compensation package (Basic salary, Monthly Allowance, Performance incentive, Profit Sharing), Up to 15-16 monthly salary/year, Attractive benefits (SHUI Insurance, PTI Premium Health Care Insurance, fully sponsored for both you and your family, ), Team-building Support Bonus quarterly, 100% official salary during the probation period, , annual salary raise, Extra bonus, per special occasions (Birthday, Labor Day, National Day, Solar New year, Lunar New Year), Annual company outing trip/travel benefit, 2. Working environment:, 5 working days/week, with flexible working time and no overtime, Chance to go on business trip oversea, English working environment:, You will have a chance to practice English in both 4 skills., Internal English Class, fully sponsored by Company, Professional, creative, comfortable, and flexible working environment, Young and talented colleagues with nice and supportive leader, Chance to develop a career with a clear and motivated performance management system, Common cultural-sportive Clubs and activities, sponsored and/or supported by the Company","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,2 năm,1 người,Toàn thời gian,Không yêu cầu,Thứ 2 - Thứ 6 (từ 09:00 đến 18:00)
6616231e82b7fc8d1e971b13,https://www.topcv.vn/viec-lam/nhan-vien-thi-cong-dien-mang-camera-thu-nhap-hap-dan-10-15-trieu/1161979.html?ta_source=ITJobs_LinkDetail,Nhân Viên Thi Công Điện Mạng Camera (Thu Nhập Hấp Dẫn 10-15 Triệu),Công ty Cổ phần I.P.L,"216 Hoàng Văn Thụ, Phường 4, Quận Tân Bình",8 - 10 triệu,21/04/2024,"- Thi công, lắp đặt hệ thống điện, mạng, camera,... tại các công ty, tòa nhà văn phòng,...nội thành HCM, - Biết cách đi dây, cấu hình đầu ghi camera, đấu nối hệ thống điện,..., - Lắp đặt hệ thống tổng đài, mạng LAN, thiết bị viễn thông, an ninh cho tòa nhà văn phòng, ngân hàng,... (các dự án ở thành phố là chính), - Biết cơ bản về hệ thống mạng, điện, camera,..., - Công việc sẽ được trao đổi cụ thể hơn khi phỏng vấn","- Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực thi công điện, mạng, camera, thợ điện, ..., - Nhanh nhẹn, hòa đồng, không ngại di chuyển, tăng ca,..., - Ưu tiên các bạn chịu khó vì thường làm tăng ca nhiều (kịp tiến độ hoàn thành công trình), - Trình độ chuyên môn: Tốt nghiệp các ngành kỹ thuật, CNTT, Điện - Điện tử,..., - Độ tuổi: Nam từ 20 - 35 tuổiBenefit: - Lương cơ bản: 7 - 10 triệu/tháng (tùy theo năng lực và deal lúc phỏng vấn) + Phụ cấp xăng xe + Tăng ca => Thu nhập 1 tháng từ 10-15 triệu, - Đầy đủ chế độ theo quy định và chế độ riêng của công ty (BHXH, sinh nhật, ốm đau, du lịch,...), - Xét định kỳ tăng lương hàng năm., - Môi trường làm việc năng động, chuyên nghiệp, nhiều cơ hội thăng tiến","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,1 năm,4 người,Toàn thời gian,Nam,nan
6616231e82b7fc8d1e971b14,https://www.topcv.vn/viec-lam/ky-su-an-ninh-mang-luong-tu-40-trieu-thang/1026763.html?ta_source=ITJobs_LinkDetail,Kỹ Sư An Ninh Mạng Lương Từ 40 Triệu / Tháng,Công ty TNHH sản xuất và thương mại Ninh Thanh,"68 Khúc Thừa Dụ, Vọng Hậu, Cầu Giấy, Hà Nội",Trên 40 triệu,30/04/2024,"Tư vấn an toàn thông tin, Phân tích ATTT nghiệp vụ, Thiết kế an ninh an toàn thông tin; Phân tích, đánh giá tài liệu yêu cầu phát triển, tài liệu đặc tả kỹ thuật, tài liệu triển khai., Đánh giá ANTT phát triển, triển khai; Xây dựng, triển khai biện pháp kiểm soát đảm bảo ANTT, Security testing, Penetration test, Đánh giá bảo mật mã nguồn, Đánh giá rủi ro an toàn thông tin","- Kinh nghiệm hơn 2 năm về an toàn thông tin, kiểm thử bảo mật, tìm kiếm lỗ hổng., - Có một trong các chứng chỉ bảo mật sau sẽ là một lợi thế: OSCP, OSWE, CEH, AWS, - Có kiến thức, kinh nhiệm penetration test ứng dụng web, mobile, desktop app, - Có khả năng đọc hiểu các ngôn ngữ lập trình: Java, .Net, Node js, - Hiểu về kiến trúc ứng dụng, hệ thống., - Hiểu, nắm rõ các tiêu chuẩn ANTT ứng dụng, tiêu chuẩn ANTT cho lĩnh vực Ngân hàng, tài chính., - Hiểu về các giải pháp ANTT ứng dụng như web application firewall, API securityBenefit: -, Thu nhập: Lương từ 40 triệu / tháng, , đóng BHXH theo quy định của Luật LĐ., - Thời gian làm việc: 8h30-17h30 từ thứ 2 đến sáng T7 hàng tuần, nghỉ lễ theo lịch nhà nước., - Nghỉ mát thường niên cùng công ty 2 lần/ năm.","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,2 năm,5 người,Toàn thời gian,Nam,"Thứ 2 - Thứ 6 (từ 08:00 đến 17:30), Thứ 7 (từ 08:00 đến 12:00)"
6616231e82b7fc8d1e971b1a,https://www.topcv.vn/viec-lam/nhan-vien-tester-ba-qc-tester/1279780.html?ta_source=ITJobs_LinkDetail,Nhân Viên,Công ty Cổ phần Công nghệ Tin học và Dịch vụ Goline,"Tòa Nhà Kim Ánh, 78 Duy Tân, Cầu Giấy, Hà Nội",(Ba/ QC/ Tester),27/04/2024,"- Phối hợp với các đội phát triển phần mềm để hiểu rõ về dự án và mục tiêu kiểm thử cũng như các yêu cầu đưa ra. Đọc hiểu tài liệu nghiệp vụ & tài liệu design của sản phẩm., - Thiết kế và xây dựng các trường hợp kiểm thử theo nhiều phương pháp khác nhau, - Thực hiện kiểm tra, log lỗi, và theo dõi tiến độ fix bug, - Kiểm soát chất lượng, đảm bảo hệ thống/sản phẩm được xây dựng đúng như thiết kế hệ thống và đáp ứng được yêu cầu nghiệp vụ, - Phối hợp chặt chẽ với developers, designer & suppoter trong các kế hoạch release","- Tốt nghiệp đại học chuyên ngành CNTT., - Skills yêu cầu, + Kinh nghiệm test ít nhất 1 năm, + Có khả năng lên Testcase, + Có khả năng test qua API, - Skill lợi thế, + Ưu tiên đã từng triển khai dự án phần mềm chứng khoán, có kinh nghiệm về lĩnh vực chứng khoán, + Có chứng chỉ ISTQBBenefit: Cơ hội phát triển, - Được làm việc với các chuyên gia công nghệ với trên 15 năm kinh nghiệm trong lĩnh vực tài chính, fintech, - Số lượng giải pháp và các sản phẩm rất nhiều với nhiều thử thách đa dạng, giúp phát triển nghề nghiệp., - Luôn được tiếp cận công nghệ mới nhất, tối ưu hóa năng lực sản xuất phần mềm, - Quy trình phát triển DevOps, tự động hóa nhiều trong quy trình, - Giải pháp tổng thể từ Front Office (iOS, Android, Flutter, ReactJS, .NET) – Middleware – Back Office với nhiều công nghệ chuyên sâu J2EE, Sping Framework, jBase, Nodejs, Apache Kafka, Apache Spark, Apache Flink, Hadoop, ElasticSearch, Oracle Database, SQL Server, Memory Database, Caching...được triển khai tại nhiều tổ chức tài chính, chứng khoán hàng đầu thế giới, - Được tham gia vào các dự án phần mềm, các mô hình phát triển ứng dụng cao cấp với các đối tác hàng đầu Nhật Bản: các ứng dụng trong lĩnh vực tài chính, fintech, - Được tiếp cận và đào tạo theo quy trình quản lý dự án phần mềm chuyên nghiệp theo chuẩn Nhật Bản như ISO 9001:2013, ISMS ISO 27001:2013, Chế độ đãi ngộ, - Lương cứng + Lương tháng thứ 13 + thưởng các dịp lễ, tết + lương hiệu quả kinh doanh;, - Có chế độ riêng cho các leader ở các cấp khác nhau, - Hưởng bảo hiểm xã hội, bảo hiểm y tế theo chế độ nhà nước ban hành., - Thưởng dự án, review kết quả công việc 6 tháng một lần., - Tuần làm việc 5 ngày, nghỉ thứ bảy, chủ nhật và các ngày lễ tết. Làm thêm ngoài giờ được tính tiền làm thêm = 150% ngày bình thường., - Khám tổng thể sức khỏe định kỳ hàng năm tại các bệnh viện quốc tế, - Du lịch 1 năm tối thiểu 1 lần, tháng tháng/quý có các hoạt động ngoại khóa, team building, - Được đào tạo hàng tuần về chuyên môn kĩ thuật, nghiệp vụ và các chương trình đào tạo kĩ năng mềm khác như quản lý dự án, quản lý cảm xúc, não bộ, sức khỏe, giải tỏa stress, thiền cho kĩ sư...","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,1 năm,3 người,Toàn thời gian,Không yêu cầu,nan
6616231e82b7fc8d1e971b1c,https://www.topcv.vn/viec-lam/product-marketing-ai-product/1264622.html?ta_source=ITJobs_LinkDetail,Product Marketing,FPT Smart Cloud (FCI),"Hà Nội: Số 10 Phạm Văn Bạch, Phường Dịch Vọng, Quận Cầu Giấy | TP. Hồ Chí Minh: Tầng 3, tòa nhà PJICO, 186 Điện Biên Phủ, Quận 3",Mức lương,12/04/2024,"Plan and execute product branding activities (events, workshops, webinars, etc) to push product demands and generate new leads., Develop suitable sales documents with each different customer’s segments., Develop contents and detailed materials to promote new and existing products, Develop and execute research market to illustrate correlation between product and brand services with other competitors., Work closely with various vendors and agencies to deliver outsourcing tasks efficiently., Other related tasks will be delegated by the management board.","Interested in technologies and B2B marketing, Basic knowledge in IT and computing is an advantage, Good writing and content development skill, Bachelor’s degree in marketing or related field (Business, Professional Communication, ect.), At least 2-3 years of experience in product marketing, content creation., Good management, organization, and analysis skill., Fluent in English, Good at using Microsoft Office, Excel., Has experience and knowledge about software/ IT is a plus.Benefit: Competitive income package, Full benefits according to labour regulations, Diverse welfare policies accoridng to company’s regulations: Annual health check up, FPT healthcare insurance for employees (financial support for medical treatment costs at every hospitals); Gratitude activities and events, taking care of employee’s mental health as well as their family..., Friendly, open, respectful working environment, Vacation: participate in internal core events FCI scale and FPT corporation., Details will be discussed during the interview.","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,2 năm,1 người,Toàn thời gian,Không yêu cầu,Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)
6616231e82b7fc8d1e971b1f,https://www.topcv.vn/viec-lam/devops-engineer-tai-ha-noi-thu-nhap-hap-dan/1223838.html?ta_source=ITJobs_LinkDetail,DevOps Engineer,Công Ty TNHH LG CNS VIỆT NAM,"toà nhà Youngjin E&C Hải Phòng, Hồng Phong, An Dương, Hải Phòng, Việt Nam",Mức lương,10/04/2024,"LG CNS Việt Nam đang tìm kiếm các ứng viên :, Thiết kế/xây dựng Public Cloud Architecture, o Xây dựng môi trường Infra Architecture linh hoạt để thay đổi và mở rộng dựa trên nền tảng AWS, GCP và Azure., o Thiết kế Public cloud infra architecture (Cloud landingzone, Network, Storage, CDN, v.v.), o Tự động hóa xây dựng Cloud Infra dựa trên IaC (Terraform, Packer), o Thiết kế và xây dựng hệ thống Infra Monitoring, Thiết kế/xây dựng tự động hóa phân phối CI/CD, o Tăng tốc độ phát triển ứng dụng bằng cách xây dựng quy trình CI/CD., o Thiết kế và cấu hình môi trường thông qua Chuỗi công cụ Devops (Gitlab, Jenkins, ArgoCD, Nexus), o Phát triển CI/CD và xây dựng ứng dụng (Gradle, Maven)/cấu hình tự động triển khai, o Hướng dẫn thiết kế và phát triển chiến lược quản lý chi nhánh nguồn, Góp phần cải thiện chất lượng phần mềm và năng suất phát triển của dự án","o Tốt nghiệp Đại học các chuyên ngành IT, Khoa học máy tính..., giao tiếp tiếng Anh cơ bản ( Toiec 550 trở lên hoặc tương đương), o Có kinh nghiệm xây dựng các hệ thống dựa trên đám mây công cộng (mạng ảo, VM, lưu trữ, sao lưu, v.v.), o Có kinh nghiệm vận hành hệ điều hành dựa trên Linux, o Có kinh nghiệm sử dụng các công cụ tự động hóa dựa trên IaC như Terraform và Packer, o Có kinh nghiệm xây dựng/vận hành CI/CD ToolChain như Gitlab, Jenkins, Nexus, v.v., o Thành thạo các ngôn ngữ script như Python và Bash Script, Ưu tiên, • Có kinh nghiệm về Docker, K8S, • Giao tiếp tiếng HànBenefit: Lương, thưởng sẽ được thảo luận sau khi thông qua CV & Phỏng vấn, Review đánh giá năng lực hàng năm và điều chỉnh tăng lương theo hiệu quả công việc, Phụ cấp chứng chỉ ngoại ngữ tiếng hàn (TOPIK), Chăm sóc sức khỏe: Khám sức khỏe định kỳ hàng năm, Bảo hiểm sức khỏe cao cấp, Điều kiện làm việc thoải mái và thời gian làm việc linh hoạt, Cơ hội phát triển nghề nghiệp tốt với các dự án thú vị và đầy thử thách;, Các khóa đào tạo tiếng Anh, tiếng Hàn, kỹ thuật, kỹ năng mềm;, Cơ hội học các khóa học đặc biệt của LG CNS, công nghệ mới và bảo mật, Quà tặng, thưởng vào các dịp lễ, tết (30/4-1/5, 2/9, tết v.v), Các hoạt động ngoài trời với sự hỗ trợ của công ty: câu lạc bộ thể thao, team building, tiệc happy hour, sinh nhật, du lịch, sự kiện nhân viên và gia đình, v.v., Thời gian làm việc: 8 tiếng từ T2 - T6 (8:00- 12:/ 13:00 - 17:00)","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,3 năm,5 người,Toàn thời gian,Không yêu cầu,Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
6616231e82b7fc8d1e971b22,https://www.topcv.vn/viec-lam/technical-support-engineer-it-background/1255319.html?ta_source=ITJobs_LinkDetail,Technical Support Engineer (IT Background),Công ty TNHH ITECHWX,"Tầng 12, Opal Tower, 92 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP. HCM","800 - 1,200 USD",05/04/2024,"Reviews issues and contacts customers to understand issues. Ensure customers stay informed as to the status/solution of their issue. Utilizes troubleshooting tools (e.g., event logs, performance traces) to help resolve customer issues., Resolves or escalates multiple and varied customer issues. Documents technical work and research., Analyzes problems and develops solutions to meet customer needs using log analysis and other proprietary tools., Collaborates on cross-team and cross-product technical issues by working with resources from other groups as needed to resolve moderately complex customer issues., Attends readiness trainings and non-technical trainings to ensure that they become proficient in support topics. Product/Process Improvement, Provides feedback to improve products to more senior engineers or technical advisors., Identifies potential defects and escalates to more senior engineers to resolve., Uses automated tools to deliver solutions for a wide range of issues. Provides feedback on how to improve automated tools., Follows processes provided by the business., Attends case triage meetings and/or case discussions to collaborate and share ideas to resolve problems.","Proficient in English (4 skills), Available for night shifts, At least 6 months of experience (Freshers are welcome with a good learning ability and working attitude), Experience or knowledge in SQL or Basic programming language skills, is a must, Customer service mindsetBenefit: Competitive salary depending on experience (800 – 1200 USD), 90% contribution of the gross salary to social insurance from the company side, 12 days of annual leave, 8 days of sick leave, Annual Heath Checkup, Annual Performance Review, For employees working night shift: PVI insurance and food provided (non-cash), Working 5 days a week with 2 unfixed days off (Schedule will be arranged by Head of Department)","Ứng viên nộp hồ sơ trực tuyến bằng cách bấm, Ứng tuyển, ngay dưới đây.",Nhân viên,Không yêu cầu kinh nghiệm,1 người,Toàn thời gian,Không yêu cầu,nan
