_id,urls,job_name,company_name,salary,end_date,address,posted_date,job_function,job_industry,job_level,skill,preferred_language,job_description,job_requirements
661621edbb86ac211a66e91a,https://www.vietnamworks.com/giang-vien-cong-nghe-thong-tin-swinburne--1748773-jv?source=searchResults&searchType=2&placement=1749073&sortBy=latest,Giảng Viên Công Nghệ Thông Tin (Swinburne),Đại Học FPT TP.HCM,Thương lượng,2024-04-16,"Lô E2a-7, Đường D1, Khu Công Nghệ Cao, Long Thạnh Mỹ, Tp Thủ Đức,Tp Hồ Chí Minh",04/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , System/Cloud/DevOps Engineer",Giáo dục/Đào Tạo,Nhân viên,"Giáo Dục, Công Nghệ Thông Tin, Khoa Học Máy Tính, IT Administration, Phần Cứng Mạng",Bất kỳ,"- Giảng dạy/nghiên cứu và các hoạt động chuyên môn ở từng chuyên ngành tại Bô môn CNTT., - Chế độ khi là giảng viên thỉnh giảng:, + Môi trường làm việc năng động, chuyên nghiệp, + Có mức thu nhập cạnh tranh (trả theo năng lực), + Có cơ hội tham gia các hoạt động đào tạo nâng cao trình độ, + Thưởng bài báo được công bố quốc tế, + Cơ hội trở thành giảng viên cơ hữu, - Chế độ khi là giảng viên cơ hữu:, + Môi trường làm việc năng động, chuyên nghiệp, + Có mức thu nhập cạnh tranh (trả theo năng lực), + Có cơ hội tham gia các hoạt động đào tạo nâng cao trình độ, + Cơ hội được nhận học bổng 10-30% khi học MBA tại Đại học FPT, + Cơ hội được nhận hỗ trợ từ FPT Edu lên đến 200 triệu đồng khi tham gia học Tiến sĩ, + Thưởng bài báo được công bố quốc tế: mức thưởng lên đến 100 triệu đồng/bài, + Được nhận hỗ trợ khi tham gia hội nghị, hội thảo trong nước và quốc tế có bài tham luận: mức hỗ trợ lên đến 30 triệu đồng/người/năm, + Hưởng chế độ chăm sóc sức khỏe đặc biệt dành cho bản thân và gia đình (FPT care), + Được đóng BHXH, BHYT, BHTN… theo quy định của Nhà nước, + Các quyền lợi khác: du lịch nghỉ mát hàng năm, tham gia các hoạt động vui chơi giải trí…","- Tối thiểu tốt nghiệp cao học lãnh vực giảng dạy chuyên môn như AI, Computer Coding, Computer Science, IT, IoT, Intelligence, Networks, Systems, Programming, Software Development and/or Engineering...., - Khả năng giao tiếp bằng tiếng Anh tốt (nghe, nói, đọc viết) vì chương trình tại FSW-HCMC hoàn toàn sử dụng bằng tiếng Anh;, - Trình độ sư phạm tốt, đạo đức và luân lý nghề nghiệp cao;, - Năng động, sáng tạo, tự tin và nhiệt tình và hòa nhã trong công việc;, - Ưu tiên Tốt nghiệp tại các nước mà tiếng Anh là ngôn ngữ chính thức;, - Ưu tiên Tốt nghiệp bằng tiến sỹ;, - Ưu tiên Kinh nghiệm làm việc (tại doanh nghiệp trong nước và nước ngoài) và/hay các công trình nghiên cứu khoa học/thương mại."
661621edbb86ac211a66e91c,https://www.vietnamworks.com/it-infrastructure-operations-expert-1755097-jv?source=searchResults&searchType=2&placement=1755197&sortBy=latest,IT Infrastructure Operations Expert,Navigos Search,$2000 - $3000,2024-04-19,Hanoi / HCMC,20/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , Phần Cứng Máy Tính",Tài Chính,Nhân viên,AWS Docker,Bất kỳ,"- To prevent the incidents & problems, - Manage & hands-on incidents/problems solving activities, - Co-operate with INFRASTRUCTURE & PLATFORMS operation functions to establish and apply operation best practices, standards and frameworks into the INFRASTRUCTURE & PLATFORMS operation, - Collaborate with the appropriate departments to deeply understand the INFRASTRUCTURE & PLATFORMS applications, as a basis for the efficient and stable operation of services., - Define operation frameworks, standards, processes, checklists, and tools for the INFRASTRUCTURE & PLATFORMS applications and communicate them to INFRASTRUCTURE & PLATFORMS operation functions to apply into daily operation., - Analyze and propose improvements upon technology and standards across the organization., - Participate in training courses to remain up-to-date and knowledgeable in terms of industry trends and emerging technologies for IT operation support., - Provide advice, trainings, and supports to people in the INFRASTRUCTURE & PLATFORMS operation function., - Participate as a key member in the incident response team to directly drive incident/problem handling progress and responsible for analyzing and concluding the root cause of the incidents and problems; define and implement the solutions to recover the services quickly and prevent them from repeating., - Develop methodology and assessment plan to proactively address weaknesses, risks and problems on the INFRASTRUCTURE & PLATFORMS applications, then provide remediation plan to improve quality of services., - Creatively and independently provide resolutions to technical problems in a productivity and quality of service manner., Monitor and report out the compliance of the operation activities in real-life.","- A bachelor’s degree in computer science or a related field., ""- A minimum of 5 years experience as a INFRASTRUCTURE & PLATFORMS operation and implementation."", - Proficiency in\xa0AWS Cloud, Openshift,\xa0Middlewares (IBM WebSphere, Oracle Fusion, MuleSoft, Kafka, JBoss, Tomcat, etc.);\xa0CI/CD\xa0Tools, Kubernetes, Docker,\xa0etc., - Analytical mindset and good problem-solving skills;, - Excellent verbal and written communication skills; highly organized and responsible, capable of working under pressure"
661621edbb86ac211a66e927,https://www.vietnamworks.com/junior-backend-developer--1751769-jv?source=searchResults&searchType=2&placement=1751869&sortBy=latest,Junior Backend Developer,Codeforce VINA,Thương lượng,2024-04-11,"7th floor Saigonbus building, 39 Hai Thuong Lan Ong street, ward 10, district 5",12/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , Phần Mềm Máy Tính",Phần Mềm CNTT/Dịch vụ Phần mềm,Nhân viên,"MySQL, Typescript, RESTful API Design, Lập Trình Backend, NodeJS",Bất kỳ,"Job Description: We are seeking a motivated and capable Junior Backend Developer to join our team. As a Junior Backend Developer, you will be instrumental in crafting and maintaining the server-side logic for our web applications. You will work closely with our development team to ensure seamless integration between the frontend and backend components, leveraging technologies such as Node.js, TypeScript, Go, and cloud computing services like AWS to build robust and scalable solutions., Responsibilities:, • Collaborate with the development team to architect and implement server-side logic for web applications., • Develop efficient and scalable backend systems using Node.js, TypeScript, and Go., • Implement RESTful APIs to facilitate communication between frontend and backend components., • Integrate cloud computing services, particularly AWS, to deploy and manage backend infrastructure., • Ensure data security, integrity, and reliability in backend systems., • Work alongside frontend developers to ensure smooth integration and optimal user experience., • Conduct thorough testing of backend functionality, identifying and resolving any, issues or bugs., • Participate in code reviews, offering constructive feedback to maintain code quality and adherence to best practices., • Stay abreast of emerging technologies and industry trends in backend development., • Collaborate with UX designers and frontend developers to deliver cohesive and intuitive web applications","***Job Requirements:, • Proficiency in backend technologies such as Node.js, TypeScript, and Go., • Familiarity with RESTful API design and implementation., • Basic understanding of cloud computing platforms, particularly AWS., • Knowledge of database systems such as MySQL, MongoDB, or PostgreSQL., • Solid understanding of version control systems, preferably Git., • Strong problem-solving skills and attention to detail., • Excellent communication and collaboration abilities., • Ability to thrive in a fast-paced, collaborative environment., • Proactive attitude with a strong sense of responsibility and dedication to learning., • English communication skills (listening, speaking, reading, and writing)., • Experience with cloud computing platforms like AWS is a plus., • Knowledge of frontend technologies (e.g., React.js, HTML, CSS, JavaScript) is advantageous., • Previous experience with PHP and MySQL is a bonus., ***Salary & Benefits: We offer a competitive base salary in line with the Ho Chi Minh City labor market, with additional performance-based incentives and bonuses. Our benefits package includes:, • Annual profit-linked bonus, • Social insurance and UIC healthcare coverage for employees and their families, • State-of-the-art office environment with high-end workstations, • Free parking, • Modern and enjoyable workplace with complimentary snacks, coffee, and tea, • Monthly company social outings, We value and recognize the contributions and achievements of our employees, both in business and non-business activities, and offer various awards and incentives to acknowledge their dedication and excellence."
661621edbb86ac211a66e928,https://www.vietnamworks.com/senior-qc-engineer--1754218-jv?source=searchResults&searchType=2&placement=1754218&sortBy=latest,Senior QC Engineer,Globee Software & E-Commerce,Tới $1000,2024-04-17,"No. 3 Ba Thang Hai, Ward 11, District 10",18/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , QA/QC/Software Testing",Phần Mềm CNTT/Dịch vụ Phần mềm,Nhân viên,"Ecommerce Platforms, Salesforce, Ecommerce Tester, Website Testing, Testing",Tiếng Anh,"- Understand the system, analyze the documentation, describe the system and test case design, and perform a software test before delivering to the customer., - Develop test strategies/test plans (usually performed by QC leader), - Writing software test script documents (Test Cases, Checklists), - Write Script for automation test (if any automated test applies), - Use the test tool to create and execute test cases/scripts, - Coordinate with the DEV to fix bugs and report details to PMs or other stakeholders depending on the project.","- At least 03 YOE working as QC (auto/manual), - Code skills (if you are automation), - Ability to read and understand technical documents in English, - QC must have good knowledge of all functions and aspects of the product to review the requirements of the requirements., - Have an understanding of testing phases (Unit Test, Integration Test, System Test, Acceptance Test,...) and testing techniques, - QC personnel should be careful because this task requires high accuracy and attention to every aspect of possible problems of the product., - Good communication skills as QC has to work with many other team members and especially to communicate ideas and feedback to the Developer, Project Manager."
661621edbb86ac211a66e92a,https://www.vietnamworks.com/qm-staff-japanese-n2-open-for-it-comtor-1754166-jv?source=searchResults&searchType=2&placement=1754316&sortBy=latest,"QM Staff (Japanese N2+, Open for IT Comtor)",NEC Vietnam,Thương lượng,2024-04-17,"12th Floor, Gelex Tower, 52 Le Dai Hanh, Hai Ba Trung district, Hanoi",18/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , QA/QC/Software Testing",Phần Mềm CNTT/Dịch vụ Phần mềm,Nhân viên,"QMS, QMS Management, IT Auditing, IT Risk Management, QA Software",Bất kỳ,"Your role & responsibilities:, NECVN performs the Japanese quality IT development based on ISO 9001 certification. As a QM Staff member, your role will be to support the Manager in developing and ensuring the implementation of quality strategies, policies, processes, standards, and systems for NEC Vietnam., - Examination of organizational quality issues, creation of improvement plans, and operational support., - ISO maintenance work; Internal auditor implementation; Quality classification analysis., - Implementation of examination and preparation of minutes., - General quality support for PJ., - Guidance on quality control activities to the Project Manager/Manager., - Japanese, English interpretation and translation.","Your skills & qualifications:, ""- Bachelors degree in Computer Science or a relevant major"", - From 2 - 4 years of working experience in Process QA/ QM position for the Japanese software market. (For IT Comtor, we will provide training from the beginning), - Experience in process definition, project audit and improvement in the IT field., - Knowledge of software development process, and software development methodologies such as Agile/Scrum, Waterfall., - Know about ISO 9001, ISO 27001 (ISMS), CMMI and other ISO frameworks., - Proficiency in Japanese (JLPT N2+) and English (TOEIC 700+), - Good at communication and teamwork skills., Why NEC Vietnam?, - Working time: Mon-Fri, Hybrid working mode (WFH available), - 13th Salary + Year-End Reward (a half month) + Excellent Bonus, - Special allowance for foreign language certificate (up to 500USD/month), - Full social package (SI, HI, UI) & Premium healthcare insurance (Bao Viet), - Annual Health check at the top healthcare center, - 19 days of paid leave, - Free Japanese class; 1:1 class with native teachers, - Free training courses on Udemy & company support the fee (100%) to get technical certificates such as AWS Certified Advanced Networking; Microsoft DevOps Engineer Expert, etc. (up to 10M VND incentive), - Many company activities to tighten the relationship between employees: Company trip, Year-end Event, Team building, Sports Day, Family Day, Outing Trip, etc., - Reward Most Valuable Player (MVP) for individual & team twice a year, - Sports clubs provided (100% sponsored by the company): Football, Badminton, - Professional environment with clear procedures and well-working facilities, - Onsite opportunities: short-term and long-term assignments in Japan, APAC."
661621edbb86ac211a66e931,https://www.vietnamworks.com/it-officer-hcm-head-office-381-1745056-jv?source=searchResults&searchType=2&placement=1745106&sortBy=latest,IT Officer (HCM Head Office - 381),"AEONMALL Vietnam Co., Ltd.",$400 - $600,2024-04-24,"HQ: 3rd Floor – East Office of AEON MALL Long Bien, No. 27 Co Linh Road, Long Bien Ward, Long Bien Dist., Hanoi | Branch: 15th Floor, LIM Tower 3, 29A Nguyen Dinh Chieu Street, Dakao Ward, Dist. 1, HCMC",25/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , IT Support/Help Desk",Bất Động Sản/Cho thuê,Mới Tốt Nghiệp,"Software Installation, IT Helpdesk, System Control, Paperwork Handling",Tiếng Anh,"AEONMALL Vietnam Co., Ltd is a core enterprise of AEON group, specializing in shopping mall development and business operation. Based on the basic philosophy “The customer first”, we are continuing our efforts to create malls that enhance the quality of life, stimulate local economic activity and contribute to community life and culture., Because of business expanding, we are in need of recruiting 01 IT Officer., + Work location: HCM Branch Office - 15th Floor, LIM Tower 3, 29A Nguyen Dinh Chieu Str., Da Kao Ward, D1, HCMC, + Working time: 8:30 AM - 5:30 PM, Monday - Friday, + Report to: Leader/ Senior Manager, 1. Judging what is the problem in response to the inquiry from the user and propose a solution. In addition, eliciting requirements from users by hearing. (25%), 2. Making and editing reports of IT incident and proposals of IT assets and solution to make listener understand easily. (20%), 3. Support for business software, internal control systems, office informatics. (15%), 4. Propose policies, procedures to superior to develop IT system. (10%), 5. Consider solution for data processing and software manual. (10%), 6. Handle paperwork according to company regulations. (10%), 7. Other tasks as assigned. (10%)","""1. College or Bachelors degree in IT or relevant fields."", 2. No experience required. Candidate having 1 – 2 years of working experience in IT field is an advantage., 3. Be able to use English at work and willing to do the paperwork., 4. Good MS skills (Word, Excel, PowerPoint)., 5. Be honest and careful., 6. Be hard-working and adaptable to the needs of the working environment., BENEFITS, 1. 2 days-off per week., 2. 14 annual leave days per year., 3. Birthday leave with present., 4. 5 sick leave days per year with full-paid salary., 5. Additional health insurance 24/7., 6. Training opportunities., 7. Annual team-building and company trip., 8. Health check once per year., 9. Bonus and salary review once per year (depend on Company business and staff working performance)., 10. Have a chance to work in No. 1 Shopping Mall developer in Vietnam., 11. Professional environment for career development., 12. Young and dynamic colleagues."
661621edbb86ac211a66e935,https://www.vietnamworks.com/business-analyst-project-manager-japanese-n2-up-to-3-500-1756593-jv?source=searchResults&searchType=2&placement=1756593&sortBy=latest,"Business Analyst/project Manager (Japanese N2, Up to $3,500)",Navigos Search's Client,Thương lượng,2024-04-21,"Tầng 20, e.town Central, 11 Đoàn Văn Bơ, Phường 13, Quận 4, Ho Chi Minh City, Vietnam",22/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , Quản Lý Dự Án Công Nghệ",Phần Mềm CNTT/Dịch vụ Phần mềm,Nhân viên,"Project Management, Business Analysis, BrSE, Japanese",Bất kỳ,"- Translating business requirements into functional and technical requirements to include business processes, use cases along with requirements of user experience, UI integration and data, - Communicate changes, enhancements, and modifications of business requirements– verbally or through written documentation so that issues and solutions are understood, - Manage and track the status of requirements throughout the project lifecycle; manage progress, quality, risk, problem solving, - Outstanding presentation, communication, and technical writing skills, with the ability to convey simple and complex information to other teams Viet Nam, Japan, Thailand","- Fluency in Japanese (N2 higher level), - Experience working with Japanese customers, - Good Customer negotiation skill, - Knowledge of planning and delivery skills (progress, quality, risk management...), - 3+ years of B2B business experience, - Interested in UI/UX design, - Ability to work in a team, - Ability to work independently, - Communication ability: proactively disclose information, - Logic thinking, high responsibility, multitasking skills and proactivity skills"
661621edbb86ac211a66e938,https://www.vietnamworks.com/ky-su-tich-hop-cong-nghe-thong-tin-1753592-jv?source=searchResults&searchType=2&placement=1753692&sortBy=latest,Kỹ Sư Tích Hợp Công Nghệ Thông Tin,Công Ty TNHH Cảng Container Quốc Tế Hateco Hải Phòng,$750 - $1150,2024-04-14,"Số 5 Lý Tự Trọng, phường Minh Khai, quận Hồng Bàng, TP. Hải Phòng, Việt Nam",15/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , Quản Lý Công Nghệ Thông Tin",Dịch vụ kho bãi,Nhân viên,"Công Nghệ Thông Tin, Java, IT Hardware, IT System Administration",Bất kỳ,"- Theo dõi và giám sát việc triển khai hệ thống TOS (Terminal Operation System) và các hệ thống phần mềm khác diễn ra đúng tiến độ, theo sự phân công công việc., - Thiết kế và phát triển các ứng dụng: Thiết kế và triển khai các hệ thống báo cáo EDI tích hợp với các hãng tàu và các ứng dụng tương thích với hệ thống Hải quan…., - Tham gia đào tạo và nhận chuyển giao công nghệ từ các nhà cung cấp phần mềm. Hướng dẫn và đào tạo cho người dùng cuối tại cảng để họ có thể sử dụng hệ thống phần mềm một cách hiệu quả., - Phối hợp với nhà cung cấp đảm bảo hệ thống phần mềm hoạt động ổn định và luôn được cập nhật với các bản vá lỗi mới nhất và tính năng cải tiến., - Giám sát hệ thống phần mềm nhằm bảo vệ chống lại các mối đe dọa và có các biện pháp bảo mật thích hợp để bảo vệ thông tin nhạy cảm., - Đề xuất các giải pháp cải tiến để tối ưu hóa quy trình làm việc tại cảng, giúp tăng hiệu suất và giảm thời gian xử lý hàng hóa., - Tương tác với các bộ phận khác trong cảng và báo cáo tiến độ và tình hình hệ thống phần mềm đến các cấp quản lý cao hơn., - Thực hiện các công việc khác theo sự phân công của Trưởng phòng.","- Tốt nghiệp Đại học chuyên ngành CNTT., - Có ít nhất 02 năm kinh nghiệm ở vị trí tương đương tại các cảng container., - Có kinh nghiệm thực tế sử dụng SQL, HTML/CSS và một ngôn ngữ lập trình ứng dụng (Java/C++…), - Kiến thức về phân tích dữ liệu và báo cáo., - Kỹ năng giao tiếp, thuyết trình, làm việc nhóm., - Sử dụng tốt tiếng Anh trong công việc."
661621edbb86ac211a66e93c,https://www.vietnamworks.com/chuyen-gia-quan-tri-kien-truc-khoi-cong-nghe--1751447-jv?source=searchResults&searchType=2&placement=1751547&sortBy=latest,Chuyên Gia Quản Trị Kiến Trúc - Khối Công Nghệ,ABBANK - Ngân Hàng TMCP An Bình,$1500 - $2500,2024-04-10,"Số 36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",11/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , Quản Lý Công Nghệ Thông Tin",Ngân hàng,Nhân viên,"DevOps, Cloud, API",Bất kỳ,"Lập kế hoạch, quản lý, kiểm soát và thực hiện thiết kế, phát triển, triển khai kiến trúc tích hợp các hệ thống, bao gồm cơ sở hạ tầng on-premise và cloud., Trách nhiệm chính, 1. Xây dựng kiến trúc, Xây dựng kiến trúc tích hợp, dịch chuyển các hệ thống của ABBank lên môi trường Cloud (môi trường primary Cloud Google) và tích hợp với môi trường On-premise., Viết code, xây dựng các demo và review code nhằm đảm bảo các team phát triển tuân theo kiến trúc., Xây dựng năng lực của khung tích hợp nội bộ, tự động hóa, khả năng tái sử dụng, khả năng bảo trì và tự động hóa nhiều nhất có thể., Xem xét và đề xuất các giải pháp nhằm cải tiến các hạn chế của kiến trúc hiện tại và mở rộng cho tương lai., Thúc đẩy các phương pháp kỹ thuật tốt nhất (ví dụ: test-driven development, tích hợp liên tục và triển khai tự động), Giữ vai trò chính trong việc cải tiển các ứng dụng hiện tại, xây dựng các ứng dụng mới, đảm bảo phần mềm ứng dụng được thiết kế, sản xuất, thử nghiệm và đáp ứng các yêu cầu kinh doanh một cách hiệu quả và hiệu suất tốt., Xây dựng, duy trì và đẩy mạnh Kiến trúc Agile nhằm hỗ trợ thiết kế và kiến trúc của việc cải tiến và vận hành hệ thống, Xây dựng, duy trì, cải tiến các khả năng tự động hóa nhiều nhất có thể cho các yêu cầu phi chức năng xác định các thuộc tính của hệ thống như tính bảo mật, độ tin cậy, hiệu suất, khả năng bảo trì, khả năng mở rộng và khả năng sử dụng., 2. Tham gia dự án, Tham gia các dự án, cùng với các chuyên gia và người phát triển DevOps đóng góp vào việc xây dựng, phát triển kiến trúc., Xây dựng quy trình khuyến khích các chuyên gia và người phát triển DevOps đóng góp vào sự phát triển kiến trúc., Hướng dẫn và huấn luyện các thành viên trong đơn vị phát triển kiến thức, kỹ năng nhằm hoàn thành vai trò và công việc với hiệu quả cao.","-Kinh nghiệm công tác trên 5 năm. Tốt nghiệp chuyên ngành Công nghệ thông tin, Toán tin, Điện tử viễn thông tại các trường Đại học thuộc khối khoa học kỹ thuật như: Đại học Bách khoa, Đại học Quốc gia…. hoặc chương trình lập trình viên Quốc tế, -Trình độ ngoại ngữ: Tiếng Anh., -Có từ 2 năm kinh nghiệm trở lên làm việc với môi trường Cloud, tham gia xây dựng kiến trúc các dự án về cloud và dự án tích hợp liên quan tới API gateway, phát triển API, Microserives, Messaging, v.v…; đã từng làm việc, xây dựng kiến trúc cho môi trường Hybrid là lợi thế., -Có kiến thức tốt về các nền tảng và dịch vụ Cloud (AWS/Azure), DevOps/DevOpsSec, -Có các chứng chỉ về Cloud là lợi thế"
661621edbb86ac211a66e941,https://www.vietnamworks.com/product-owner--1750942-jv?source=searchResults&searchType=2&placement=1751142&sortBy=latest,Product Owner,Công Ty Cổ Phần Luklak,$1500 - $2000,2024-04-07,"Xã Đàn 2, P. Nam Đồng, Q. Đống Đa, Hà Nội.",08/03/2024,"Công Nghệ Thông Tin/Viễn Thông,  > , Quản Lý Dự Án Công Nghệ",Giáo dục/Đào Tạo,Nhân viên,"Business Analysis, SaaS, Agile Scrum, Phân Tích Dữ Liệu, Nghiên Cứu Thị Trường",Bất kỳ,"Vị trí Product Owner có tác động to lớn, góp phần đưa ra các tính năng, giải pháp công nghệ hiệu quả giải quyết những vấn đề đời thực hàng ngày trong quản lý công việc và quản trị vận hành doanh nghiệp., 1) Mô tả công việc, Nghiên Cứu Phát Triển Tính Năng, - Nghiên cứu thị trường, khách hàng, đối thủ cạnh tranh để đưa ra đề xuất phát triển phù hợp với định hướng sản phẩm của LukLak., - Hoạch định lộ trình sản phẩm cân đối được các yếu tố: định hướng phát triển cũng như nguồn lực của LukLak, nhu cầu của khách hàng và tình hình thị trường, đối thủ., - Thu thập, phân tích các dữ liệu cụ thể, đa chiều làm cơ sở để đưa ra các tính năng.  Phát triển các tài cần thiết để làm việc với các đội Developer, QA Tester., - Là đầu mối chính về sản phẩm để làm việc, phối hợp và cung cấp các thông tin liên quan tới toàn bộ các bộ phận trong công ty như marketing, kinh doanh, dịch vụ khách hàng..., Địa điểm làm việc: 168 Xã Đàn 2, P. Nam Đồng, Q. Đống Đa, Hà Nội., Thời gian làm việc:, - Sáng 8h30’-12h00’, Chiều 13h30’-18h00’. Từ thứ 2 đến thứ 6 hàng tuần., Quản Lý Triển Khai, - Làm đầu mối quản lý triển khai kế hoạch phát triển tính năng theo mô hình Agile Scrum, phối hợp xuyên suốt các team Product, Developer, Tester., - Đặt ra các mục tiêu - chỉ tiêu cụ thể, khả thi và nhất quát sâu sát theo đuổi việc đạt được mục tiêu đề ra., - Sâu sát trong việc sử dụng dữ liệu để phân tích cũng như tương tác trao đổi thường xuyên với những người liên quan để nắm được tình hình tiến độ công việc, nhận thức sớm được các rủi ro và nhanh chóng đưa ra hành động để hạn chế rủi ro, thúc đẩy công việc đúng tiến độ., Khách Hàng & Người Dùng, Tham gia phối hợp với các bộ phận khác như marketing, kinh doanh, tư vấn triển khai trong việc:, - Đưa sản phẩm ra thị trường, phát triển khách hàng, doanh thu., - Tư vấn triển khai ứng dụng vào doanh nghiệp, nâng cao trải nghiệm và khả năng thành công của khách hàng (customer success)., - Kết nối và lắng nghe phản hồi từ người dùng để hiểu rõ nhu cầu và định hướng phát triển sản phẩm phù hợp.","**Yêu cầu, Bắt buộc:, -  Bắt buộc: ứng viên sinh năm 92-2000, tốt nghiệp ĐH trở lên, ưu tiên các nhóm trường top, - Có 3 năm kinh nghiệm trở lên làm việc ở mảng Product (Business Analyst hoặc Product Owner) hoặc có trải nghiệm sâu sắc về sản phẩm, khách hàng, thị trường., - Ưu tiên ứng viên có kinh nghiệm về Saas Product., - Có kĩ năng tốt về quản lý công việc (project management) và tư duy phân tích, giải quyết vấn đề dựa trên dữ liệu., - Có tư duy hệ thống và khả năng phân tích tốt để phân tích đa dạng được thị trường và các ứng dụng hiện có bên ngoài, phân tích được nhu cầu của người dùng và doanh nghiệp từ đó đưa ra được các mô hình, quy chuẩn, tính năng sản phẩm cũng như ứng dụng vào quản trị doanh nghiệp, quản lý công việc., - Có khả năng làm việc tốt với con người, cả ở khía cạnh trao đổi, tương tác để nắm bắt, phân tích vấn đề cũng như thúc đẩy công việc triển khai được với các đối tượng con người khác nhau., - Có laptop cá nhân (bắt buộc)., Ưu tiên:, - Có kinh nghiệm về tư duy các mô hình, phương pháp quản lý công việc, như Agile Scrum/ PMP/ OKR…, - Có niềm yêu thích tự nhiên và tự thân về tư duy triết lý & các phương pháp quản lý công việc - vận hành doanh nghiệp và việc ứng dụng phần mềm - công nghệ vào quản lý vận hành công việc hàng ngày., - Yêu thích những thử thách lớn cùng với sự lãng mạn, nhiệt huyết đủ để có thể xây dựng tầm nhìn cho những sản phẩm lớn từ giai đoạn đầu và sẵn sàng cắm mặt xắn tay vào làm việc quyết liệt để hiện thực hoá nó., **Quyền lợi, - Mức lương hấp dẫn, tương xứng với năng lực và kinh nghiệm làm việc; up to 40 triệu, - Nhận cổ phần sáng lập cho cấp quản lý, trưởng nhóm khi vào làm việc trong giai đoạn đầu, cổ phần ưu đãi ESOP cho các nhân sự có năng lực và kết quả tốt., - Học tiếng anh miễn phí tại AROMA - Tiếng Anh Cho Người Đi Làm., - Được đào tạo và định hướng bởi CEO đầu ngành, những founder dày dặn kinh nghiệm., - Quy trình làm việc số hoá, minh bạch, có hệ thống ghi nhận thành tích rõ ràng., - Hưởng đầy đủ các chế độ theo quy định của Nhà nước như BHXH, BHYT., - Thưởng các dịp Lễ, Tết, lương tháng 13, thưởng hiệu quả công việc. Nghỉ lễ tết, nghỉ phép năm, teambuilding,…, - Môi trường làm việc trẻ, trao quyền, không giới hạn sự sáng tạo., - Văn phòng view hồ. Có thực phẩm khô, trà, cafe, bánh phục vụ nhân viên."
